"","X","id","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
"13268",13267,105610,"Female","Loyal Customer",54,"Personal Travel","Business",842,2,4,3,1,4,5,5,5,5,3,4,5,5,4,13,0,"neutral or dissatisfied"
"13272",13271,122092,"Male","Loyal Customer",45,"Personal Travel","Eco",130,0,5,0,4,4,0,4,4,2,5,1,4,4,4,0,1,"satisfied"
"13273",13272,29423,"Male","Loyal Customer",27,"Personal Travel","Eco Plus",2349,5,4,5,3,1,5,1,1,5,2,4,4,2,1,0,0,"satisfied"
"13274",13273,57975,"Female","Loyal Customer",43,"Personal Travel","Eco",420,4,4,4,3,4,5,4,3,3,4,3,2,3,3,0,6,"neutral or dissatisfied"
"13275",13274,37244,"Male","Loyal Customer",48,"Personal Travel","Business",1076,4,5,4,3,2,5,4,2,2,4,2,3,2,3,3,0,"neutral or dissatisfied"
"13277",13276,38133,"Female","disloyal Customer",37,"Business travel","Eco",797,4,4,4,1,1,4,1,1,1,2,3,2,4,1,0,0,"neutral or dissatisfied"
"13278",13277,77551,"Male","Loyal Customer",39,"Business travel","Business",586,3,3,3,3,4,3,2,2,2,2,2,5,2,1,3,0,"satisfied"
"13279",13278,52156,"Male","Loyal Customer",44,"Business travel","Business",509,1,1,3,1,2,2,4,5,5,5,5,2,5,3,0,0,"satisfied"
"13280",13279,61728,"Female","Loyal Customer",15,"Business travel","Business",1303,2,5,5,5,2,2,2,2,1,5,3,3,3,2,17,0,"neutral or dissatisfied"
"13281",13280,122591,"Male","disloyal Customer",26,"Business travel","Business",728,3,2,2,3,5,2,1,5,4,2,5,3,5,5,2,0,"neutral or dissatisfied"
"13282",13281,46961,"Male","Loyal Customer",12,"Personal Travel","Eco",819,2,3,2,3,5,2,5,5,1,2,2,5,3,5,67,59,"neutral or dissatisfied"
"13283",13282,110243,"Female","Loyal Customer",46,"Business travel","Business",1024,2,2,5,2,2,5,5,5,5,5,5,5,5,4,18,2,"satisfied"
"13285",13284,12709,"Male","Loyal Customer",24,"Business travel","Business",721,3,4,4,4,3,3,3,3,1,3,4,1,3,3,0,0,"neutral or dissatisfied"
"13286",13285,16496,"Male","Loyal Customer",39,"Business travel","Business",195,5,5,5,5,3,1,4,4,4,4,4,2,4,4,113,95,"satisfied"
"13287",13286,6476,"Female","Loyal Customer",67,"Personal Travel","Eco Plus",315,1,5,5,2,3,5,4,4,4,5,4,5,4,1,0,0,"neutral or dissatisfied"
"13288",13287,16567,"Male","disloyal Customer",21,"Business travel","Eco",872,3,3,3,2,3,3,3,3,2,4,5,1,1,3,0,0,"neutral or dissatisfied"
"13289",13288,42074,"Female","Loyal Customer",31,"Personal Travel","Eco",106,2,5,2,5,5,2,5,5,5,4,4,4,5,5,0,8,"neutral or dissatisfied"
"13292",13291,24463,"Female","Loyal Customer",59,"Business travel","Eco",547,4,1,1,1,5,2,3,4,4,4,4,4,4,4,3,NA,"satisfied"
"13293",13292,5865,"Female","Loyal Customer",31,"Personal Travel","Eco",1020,4,4,4,2,4,4,4,4,5,3,5,4,5,4,0,0,"neutral or dissatisfied"
"13294",13293,108862,"Male","Loyal Customer",28,"Personal Travel","Eco",2139,4,2,4,4,2,4,2,2,4,4,4,4,4,2,33,8,"neutral or dissatisfied"
"13295",13294,21640,"Female","Loyal Customer",52,"Personal Travel","Eco",780,2,2,2,1,5,1,1,1,1,2,1,2,1,4,1,0,"neutral or dissatisfied"
"13296",13295,35142,"Male","Loyal Customer",39,"Business travel","Business",1165,2,1,1,1,5,3,3,2,2,2,2,2,2,3,0,0,"neutral or dissatisfied"
"13297",13296,7495,"Male","Loyal Customer",35,"Personal Travel","Eco",925,3,4,3,4,4,3,2,4,5,2,4,5,5,4,0,0,"neutral or dissatisfied"
"13298",13297,98171,"Female","disloyal Customer",24,"Business travel","Business",562,4,0,4,3,4,4,4,4,3,3,4,5,5,4,12,0,"satisfied"
"13300",13299,66879,"Female","Loyal Customer",57,"Business travel","Business",2778,5,5,5,5,2,5,4,5,5,5,5,4,5,3,15,3,"satisfied"
"13301",13300,124788,"Male","Loyal Customer",43,"Business travel","Business",280,0,0,0,4,3,4,5,3,3,3,3,3,3,4,28,11,"satisfied"
"13302",13301,89184,"Female","Loyal Customer",10,"Personal Travel","Eco",1947,3,3,3,4,5,3,5,5,3,4,3,5,2,5,0,1,"neutral or dissatisfied"
"13303",13302,61106,"Female","Loyal Customer",13,"Personal Travel","Eco",1709,4,2,4,4,5,4,5,5,4,1,3,4,3,5,0,0,"neutral or dissatisfied"
"13304",13303,23846,"Male","disloyal Customer",34,"Business travel","Eco",552,3,4,3,4,5,3,5,5,5,1,4,5,5,5,47,57,"neutral or dissatisfied"
"13305",13304,92811,"Female","disloyal Customer",26,"Business travel","Business",1587,1,1,1,3,4,1,4,4,3,2,4,4,4,4,0,0,"neutral or dissatisfied"
"13306",13305,122685,"Female","disloyal Customer",24,"Business travel","Eco",361,4,0,4,4,1,4,1,1,2,3,4,2,3,1,0,0,"neutral or dissatisfied"
"13308",13307,53276,"Female","Loyal Customer",51,"Business travel","Business",758,3,3,3,3,3,5,1,4,4,4,4,5,4,2,0,24,"satisfied"
"13309",13308,65486,"Male","Loyal Customer",23,"Personal Travel","Eco",1067,3,4,2,2,3,2,3,3,4,2,4,3,4,3,0,0,"neutral or dissatisfied"
"13310",13309,14813,"Male","Loyal Customer",11,"Personal Travel","Eco",95,2,1,0,2,3,0,5,3,1,3,2,1,2,3,1,0,"neutral or dissatisfied"
"13311",13310,82684,"Male","Loyal Customer",30,"Business travel","Business",2720,1,1,1,1,4,5,4,4,4,2,5,3,4,4,0,0,"satisfied"
"13312",13311,71568,"Female","Loyal Customer",53,"Business travel","Business",1005,4,5,5,5,3,3,4,4,4,3,4,3,4,3,6,5,"neutral or dissatisfied"
"13313",13312,64069,"Female","Loyal Customer",36,"Business travel","Eco",519,5,2,2,2,5,5,5,5,3,2,3,5,3,5,34,41,"satisfied"
"13314",13313,15045,"Male","disloyal Customer",9,"Business travel","Eco",576,2,0,2,4,4,2,4,4,5,4,5,2,2,4,4,0,"neutral or dissatisfied"
"13315",13314,59519,"Female","Loyal Customer",15,"Personal Travel","Business",956,1,5,1,3,1,1,2,1,5,3,5,4,5,1,0,0,"neutral or dissatisfied"
"13316",13315,28147,"Male","Loyal Customer",61,"Business travel","Eco",933,1,1,1,1,1,1,1,1,3,2,3,3,2,1,0,0,"neutral or dissatisfied"
"13317",13316,83031,"Female","Loyal Customer",32,"Business travel","Business",3001,3,2,2,2,3,3,3,3,3,3,4,3,4,3,37,119,"neutral or dissatisfied"
"13318",13317,39583,"Female","disloyal Customer",25,"Business travel","Eco",965,3,3,3,4,4,3,4,4,2,4,4,4,3,4,0,0,"neutral or dissatisfied"
"13319",13318,110885,"Female","Loyal Customer",55,"Business travel","Eco",406,4,3,3,3,4,4,3,4,4,4,4,1,4,1,10,14,"neutral or dissatisfied"
"13320",13319,123071,"Female","disloyal Customer",50,"Business travel","Business",468,4,4,4,4,2,4,5,2,3,2,5,3,4,2,109,103,"satisfied"
"13321",13320,118378,"Male","Loyal Customer",50,"Business travel","Business",3914,3,3,3,3,3,5,5,5,5,5,5,3,5,5,0,0,"satisfied"
"13322",13321,40734,"Male","disloyal Customer",27,"Business travel","Eco",599,1,1,2,3,1,2,1,1,4,2,4,3,4,1,0,0,"neutral or dissatisfied"
"13323",13322,40946,"Male","Loyal Customer",28,"Personal Travel","Eco Plus",574,4,5,4,4,4,4,4,4,3,2,5,4,5,4,70,50,"neutral or dissatisfied"
"13324",13323,77372,"Female","Loyal Customer",51,"Business travel","Eco",532,4,2,2,2,5,3,3,3,3,4,3,4,3,2,1,0,"neutral or dissatisfied"
"13325",13324,32979,"Male","Loyal Customer",65,"Personal Travel","Eco",216,4,5,0,4,2,0,2,2,3,1,2,1,2,2,0,0,"satisfied"
"13326",13325,76345,"Male","Loyal Customer",44,"Business travel","Business",1851,2,2,5,2,4,4,5,5,5,4,5,5,5,4,0,0,"satisfied"
"13327",13326,12404,"Female","disloyal Customer",50,"Business travel","Eco",201,1,2,1,3,5,1,5,5,3,3,3,4,3,5,20,17,"neutral or dissatisfied"
"13328",13327,47098,"Female","Loyal Customer",50,"Personal Travel","Eco",639,3,5,3,4,4,5,4,5,5,3,2,4,5,5,8,10,"neutral or dissatisfied"
"13329",13328,60546,"Female","Loyal Customer",51,"Personal Travel","Eco",862,2,5,2,4,3,5,5,2,2,2,2,3,2,3,0,0,"neutral or dissatisfied"
"13330",13329,118455,"Female","Loyal Customer",43,"Business travel","Business",3927,4,1,4,4,2,4,5,4,4,4,4,3,4,3,0,0,"satisfied"
"13331",13330,37187,"Male","Loyal Customer",24,"Personal Travel","Eco",1046,2,3,2,3,4,2,4,4,2,2,3,4,5,4,0,0,"neutral or dissatisfied"
"13332",13331,54356,"Female","Loyal Customer",58,"Business travel","Eco",835,4,5,5,5,2,3,3,4,4,4,4,2,4,2,0,0,"neutral or dissatisfied"
"13334",13333,124643,"Male","disloyal Customer",43,"Business travel","Business",399,1,2,2,2,4,1,4,4,4,5,5,3,4,4,35,30,"neutral or dissatisfied"
"13335",13334,27277,"Female","Loyal Customer",40,"Personal Travel","Business",697,3,5,3,1,1,5,2,4,4,3,4,4,4,3,0,5,"neutral or dissatisfied"
"13336",13335,49710,"Male","Loyal Customer",58,"Business travel","Business",1995,0,5,0,1,5,3,5,3,3,3,3,2,3,1,0,0,"satisfied"
"13337",13336,92424,"Male","disloyal Customer",27,"Business travel","Business",839,5,5,5,3,3,5,3,3,4,4,3,3,4,3,42,22,"satisfied"
"13338",13337,119133,"Male","Loyal Customer",70,"Business travel","Business",2910,2,1,1,1,4,2,2,2,2,2,2,2,2,1,0,0,"neutral or dissatisfied"
"13339",13338,105713,"Male","disloyal Customer",35,"Business travel","Eco",883,2,2,2,3,4,2,4,4,4,3,3,4,2,4,25,15,"neutral or dissatisfied"
"13340",13339,100434,"Female","Loyal Customer",35,"Business travel","Business",1620,3,3,3,3,2,4,4,4,4,4,4,5,4,3,20,28,"satisfied"
"13341",13340,24071,"Female","Loyal Customer",44,"Business travel","Eco",866,3,2,5,5,4,3,1,3,3,3,3,1,3,5,0,0,"satisfied"
"13342",13341,113182,"Male","Loyal Customer",52,"Personal Travel","Eco",889,2,3,2,4,2,2,2,2,2,4,3,1,3,2,6,12,"neutral or dissatisfied"
"13343",13342,33609,"Female","Loyal Customer",34,"Business travel","Business",399,3,4,4,4,5,3,2,3,3,3,3,2,3,2,0,6,"neutral or dissatisfied"
"13345",13344,10185,"Male","Loyal Customer",48,"Business travel","Business",429,2,2,2,2,3,4,4,5,5,5,5,5,5,4,0,0,"satisfied"
"13346",13345,40912,"Male","Loyal Customer",28,"Personal Travel","Eco",590,1,3,2,5,5,2,5,5,4,5,4,2,5,5,45,64,"neutral or dissatisfied"
"13347",13346,39945,"Female","Loyal Customer",62,"Personal Travel","Eco",1086,3,5,3,4,4,4,5,1,1,3,1,3,1,3,0,49,"neutral or dissatisfied"
"13348",13347,52060,"Female","Loyal Customer",45,"Business travel","Eco",351,4,5,5,5,5,3,4,4,4,4,4,5,4,2,0,1,"satisfied"
"13350",13349,100020,"Female","Loyal Customer",24,"Business travel","Business",3635,2,2,5,2,2,2,2,2,3,1,3,4,4,2,16,11,"neutral or dissatisfied"
"13352",13351,106745,"Female","Loyal Customer",31,"Business travel","Business",945,3,3,3,3,4,4,4,4,3,5,5,3,4,4,0,0,"satisfied"
"13353",13352,10529,"Male","Loyal Customer",56,"Business travel","Business",3187,2,2,2,2,5,4,4,4,4,4,4,4,4,3,0,0,"satisfied"
"13354",13353,88438,"Male","disloyal Customer",26,"Business travel","Eco",545,1,2,1,4,2,1,5,2,3,3,3,2,4,2,0,0,"neutral or dissatisfied"
"13355",13354,97308,"Male","disloyal Customer",38,"Business travel","Business",872,5,5,5,5,3,5,3,3,5,5,5,4,4,3,8,0,"satisfied"
"13356",13355,36994,"Male","Loyal Customer",30,"Business travel","Eco",667,5,5,5,5,5,5,5,5,4,3,3,5,5,5,0,0,"satisfied"
"13357",13356,73404,"Male","Loyal Customer",41,"Business travel","Business",1986,3,5,5,5,4,2,2,3,3,3,3,4,3,2,0,0,"neutral or dissatisfied"
"13358",13357,42168,"Male","Loyal Customer",26,"Business travel","Business",817,2,2,4,2,5,4,5,5,4,2,3,1,3,5,0,0,"satisfied"
"13359",13358,21111,"Male","Loyal Customer",45,"Personal Travel","Eco",152,4,5,4,1,2,4,3,2,5,4,4,3,4,2,0,0,"satisfied"
"13360",13359,48062,"Male","Loyal Customer",59,"Business travel","Business",3829,3,3,3,3,5,5,4,4,4,4,4,4,4,4,0,0,"satisfied"
"13361",13360,16181,"Male","Loyal Customer",39,"Business travel","Eco",277,2,4,4,4,2,2,2,2,3,3,4,1,4,2,20,34,"neutral or dissatisfied"
"13363",13362,95594,"Female","disloyal Customer",48,"Business travel","Business",670,2,2,2,5,5,2,5,5,3,2,4,4,5,5,0,0,"neutral or dissatisfied"
"13365",13364,60594,"Male","Loyal Customer",11,"Personal Travel","Eco",1290,2,2,2,3,3,2,3,3,1,3,2,4,3,3,0,20,"neutral or dissatisfied"
"13369",13368,33918,"Female","Loyal Customer",62,"Personal Travel","Eco",636,1,5,1,5,2,4,4,2,2,1,2,4,2,4,0,3,"neutral or dissatisfied"
"13371",13370,53292,"Male","Loyal Customer",61,"Business travel","Business",3850,2,2,3,2,4,2,4,5,5,5,5,1,5,2,5,0,"satisfied"
"13374",13373,26013,"Female","disloyal Customer",23,"Business travel","Eco",425,1,0,1,5,3,1,3,3,5,4,3,1,1,3,0,0,"neutral or dissatisfied"
"13375",13374,101103,"Male","disloyal Customer",25,"Business travel","Eco",1235,2,2,2,5,5,2,4,5,4,4,4,5,5,5,0,0,"neutral or dissatisfied"
"13376",13375,4403,"Female","Loyal Customer",10,"Business travel","Eco Plus",618,2,5,2,5,2,2,3,2,4,5,3,4,3,2,0,0,"neutral or dissatisfied"
"13378",13377,61555,"Male","Loyal Customer",49,"Business travel","Business",2419,4,4,4,4,5,4,5,4,4,4,4,4,4,3,0,0,"satisfied"
"13380",13379,127699,"Female","disloyal Customer",41,"Business travel","Business",2133,3,3,3,1,5,3,5,5,3,3,4,3,4,5,0,0,"neutral or dissatisfied"
"13381",13380,124642,"Female","disloyal Customer",21,"Business travel","Eco",399,4,0,4,2,3,4,3,3,5,4,5,5,4,3,0,0,"satisfied"
"13382",13381,110647,"Male","disloyal Customer",39,"Business travel","Business",945,3,3,3,3,1,3,1,1,3,4,5,4,5,1,0,2,"neutral or dissatisfied"
"13383",13382,128950,"Female","Loyal Customer",36,"Business travel","Business",3984,1,1,1,1,2,4,4,4,4,4,4,5,4,4,0,0,"satisfied"
"13384",13383,25286,"Female","Loyal Customer",66,"Business travel","Business",2899,1,1,5,1,5,4,2,5,5,5,5,1,5,4,0,0,"satisfied"
"13385",13384,41649,"Female","Loyal Customer",43,"Business travel","Business",1884,3,3,3,3,3,1,5,3,3,5,3,1,3,4,32,33,"satisfied"
"13386",13385,86105,"Female","Loyal Customer",39,"Business travel","Business",3335,4,4,4,4,2,5,4,4,4,4,4,5,4,4,25,17,"satisfied"
"13387",13386,100329,"Male","Loyal Customer",11,"Business travel","Eco",1011,1,1,1,1,1,1,1,1,4,5,3,3,2,1,0,0,"neutral or dissatisfied"
"13389",13388,51705,"Female","Loyal Customer",48,"Business travel","Business",1972,5,4,4,4,1,2,2,1,1,2,5,1,1,1,0,0,"neutral or dissatisfied"
"13390",13389,74891,"Male","Loyal Customer",60,"Personal Travel","Business",2475,1,5,1,1,4,3,5,5,5,1,5,4,5,5,0,0,"neutral or dissatisfied"
"13391",13390,125500,"Male","Loyal Customer",51,"Business travel","Business",3009,5,5,2,5,3,5,4,5,5,5,5,4,5,4,0,0,"satisfied"
"13392",13391,13731,"Female","disloyal Customer",66,"Business travel","Eco",401,2,0,2,4,4,2,4,4,2,1,2,5,2,4,0,0,"neutral or dissatisfied"
"13393",13392,112508,"Male","Loyal Customer",21,"Personal Travel","Eco",862,3,4,3,3,1,3,1,1,4,2,4,3,3,1,0,0,"neutral or dissatisfied"
"13396",13395,101346,"Male","Loyal Customer",14,"Personal Travel","Eco",2026,3,5,3,4,5,3,5,5,4,4,5,5,5,5,0,0,"neutral or dissatisfied"
"13398",13397,95111,"Female","Loyal Customer",18,"Personal Travel","Eco",277,4,4,4,1,4,4,2,4,3,5,5,1,2,4,18,20,"neutral or dissatisfied"
"13399",13398,68838,"Male","Loyal Customer",7,"Personal Travel","Business",1061,4,5,4,1,3,4,3,3,5,3,5,4,4,3,0,0,"neutral or dissatisfied"
"13400",13399,57166,"Female","Loyal Customer",53,"Business travel","Business",2227,5,3,5,5,5,4,4,4,4,4,4,4,4,3,3,0,"satisfied"
"13402",13401,72756,"Female","Loyal Customer",31,"Business travel","Business",2150,5,5,5,5,4,4,4,4,4,2,5,5,5,4,14,0,"satisfied"
"13403",13402,114046,"Female","Loyal Customer",25,"Personal Travel","Eco",511,3,4,3,3,4,3,4,4,4,4,5,5,4,4,63,58,"neutral or dissatisfied"
"13404",13403,13189,"Female","Loyal Customer",46,"Business travel","Business",419,3,3,3,3,1,2,5,4,4,5,4,3,4,2,0,2,"satisfied"
"13405",13404,50047,"Male","Loyal Customer",50,"Business travel","Business",3951,0,3,0,2,5,5,5,1,1,1,1,4,1,2,0,0,"satisfied"
"13406",13405,112046,"Male","Loyal Customer",12,"Personal Travel","Eco",1123,1,1,1,4,2,1,5,2,3,1,3,3,4,2,3,0,"neutral or dissatisfied"
"13407",13406,4394,"Male","Loyal Customer",59,"Personal Travel","Eco",473,3,1,3,3,2,3,2,2,4,4,3,1,3,2,0,0,"neutral or dissatisfied"
"13409",13408,109796,"Male","disloyal Customer",27,"Business travel","Business",1011,4,3,3,2,4,3,4,4,3,4,4,5,4,4,35,22,"satisfied"
"13410",13409,44786,"Female","Loyal Customer",48,"Business travel","Business",3848,2,4,5,4,1,4,3,2,2,2,2,3,2,4,0,0,"neutral or dissatisfied"
"13411",13410,62015,"Female","Loyal Customer",42,"Business travel","Eco",2475,3,3,3,3,1,3,3,3,3,3,3,2,3,4,0,0,"neutral or dissatisfied"
"13412",13411,17870,"Female","disloyal Customer",34,"Business travel","Eco",425,3,1,2,4,4,2,4,4,2,3,3,4,3,4,0,0,"neutral or dissatisfied"
"13414",13413,86790,"Female","Loyal Customer",47,"Business travel","Business",2351,3,3,3,3,5,4,5,5,5,5,5,5,5,5,0,2,"satisfied"
"13415",13414,61573,"Female","Loyal Customer",44,"Business travel","Business",1303,5,5,5,5,3,5,4,4,4,4,4,4,4,3,1,7,"satisfied"
"13416",13415,95088,"Female","Loyal Customer",20,"Personal Travel","Eco",239,4,4,4,3,3,4,3,3,1,1,3,2,4,3,0,0,"neutral or dissatisfied"
"13417",13416,51330,"Male","Loyal Customer",37,"Business travel","Eco Plus",199,1,5,5,5,1,1,1,1,3,5,4,1,3,1,0,0,"neutral or dissatisfied"
"13420",13419,61456,"Female","Loyal Customer",45,"Business travel","Business",2442,4,4,4,4,2,3,5,4,4,5,4,4,4,5,21,18,"satisfied"
"13421",13420,116519,"Male","Loyal Customer",61,"Personal Travel","Eco",337,2,2,2,4,5,2,5,5,3,1,4,4,4,5,12,20,"neutral or dissatisfied"
"13423",13422,15979,"Female","disloyal Customer",36,"Business travel","Business",780,3,3,3,3,3,3,3,3,5,5,4,4,4,3,16,70,"neutral or dissatisfied"
"13424",13423,52030,"Male","Loyal Customer",34,"Personal Travel","Eco",328,2,0,2,4,4,2,4,4,3,2,4,4,5,4,5,0,"neutral or dissatisfied"
"13425",13424,447,"Female","Loyal Customer",51,"Business travel","Business",354,1,1,1,1,5,5,5,5,5,5,5,5,5,5,7,8,"satisfied"
"13427",13426,92004,"Male","Loyal Customer",52,"Business travel","Business",1589,1,1,1,1,3,4,5,3,3,3,3,3,3,5,0,0,"satisfied"
"13428",13427,31270,"Female","Loyal Customer",29,"Business travel","Business",3416,5,5,2,5,4,4,4,4,4,2,3,5,2,4,0,0,"satisfied"
"13429",13428,42960,"Male","disloyal Customer",21,"Business travel","Business",236,5,3,4,1,2,4,2,2,5,5,2,4,2,2,0,0,"satisfied"
"13430",13429,93989,"Male","Loyal Customer",9,"Personal Travel","Eco",1315,2,5,2,4,1,2,1,1,5,2,3,3,5,1,0,0,"neutral or dissatisfied"
"13431",13430,3771,"Male","Loyal Customer",59,"Business travel","Business",3263,5,5,5,5,4,5,4,5,5,4,5,5,5,3,0,0,"satisfied"
"13432",13431,121736,"Female","Loyal Customer",54,"Business travel","Business",1856,5,5,5,5,2,4,3,5,5,5,5,3,5,4,0,0,"satisfied"
"13434",13433,113177,"Male","Loyal Customer",59,"Personal Travel","Eco",889,4,4,4,2,1,4,1,1,5,2,4,4,4,1,0,0,"neutral or dissatisfied"
"13435",13434,4153,"Female","disloyal Customer",36,"Business travel","Eco",431,1,4,1,4,5,1,5,5,3,5,3,3,4,5,0,0,"neutral or dissatisfied"
"13439",13438,96725,"Male","Loyal Customer",20,"Personal Travel","Eco",696,3,4,3,3,5,3,5,5,3,5,4,3,5,5,0,0,"neutral or dissatisfied"
"13442",13441,56547,"Male","disloyal Customer",27,"Business travel","Business",997,4,5,5,3,3,5,3,3,5,3,5,3,4,3,0,0,"satisfied"
"13444",13443,69482,"Female","Loyal Customer",38,"Business travel","Business",3436,1,1,1,1,2,4,5,3,3,4,3,5,3,4,4,20,"satisfied"
"13445",13444,10390,"Male","disloyal Customer",32,"Business travel","Business",517,4,3,3,5,2,3,5,2,3,2,4,3,4,2,0,7,"neutral or dissatisfied"
"13446",13445,92690,"Male","Loyal Customer",32,"Personal Travel","Eco",507,1,5,5,5,4,5,4,4,4,3,4,4,5,4,11,4,"neutral or dissatisfied"
"13447",13446,98722,"Male","Loyal Customer",55,"Personal Travel","Eco Plus",861,3,5,2,4,3,2,3,3,4,4,4,5,4,3,2,11,"neutral or dissatisfied"
"13448",13447,72145,"Male","Loyal Customer",29,"Personal Travel","Eco",731,2,2,2,3,4,2,1,4,1,3,3,4,3,4,0,0,"neutral or dissatisfied"
"13449",13448,42091,"Male","Loyal Customer",41,"Business travel","Eco",996,5,4,2,4,5,5,5,5,4,2,1,5,5,5,80,62,"satisfied"
"13450",13449,46040,"Female","Loyal Customer",66,"Business travel","Eco",991,2,1,4,1,4,3,3,2,2,2,2,1,2,4,0,7,"neutral or dissatisfied"
"13452",13451,43320,"Female","Loyal Customer",38,"Business travel","Eco",436,1,3,3,3,1,1,1,1,3,4,4,1,3,1,0,19,"neutral or dissatisfied"
"13453",13452,110197,"Female","Loyal Customer",47,"Business travel","Business",1056,4,4,4,4,3,5,5,4,4,4,4,4,4,4,45,49,"satisfied"
"13455",13454,62730,"Female","disloyal Customer",23,"Business travel","Eco",2367,3,3,3,3,3,3,3,3,2,4,4,4,3,3,1,13,"neutral or dissatisfied"
"13456",13455,98077,"Female","Loyal Customer",42,"Personal Travel","Eco",1449,2,1,2,4,3,3,4,4,4,2,4,2,4,2,0,1,"neutral or dissatisfied"
"13458",13457,115328,"Female","Loyal Customer",55,"Business travel","Business",446,3,3,3,3,5,5,5,5,5,5,5,5,5,5,0,0,"satisfied"
"13459",13458,25059,"Female","Loyal Customer",35,"Business travel","Business",3191,2,2,2,2,2,5,1,5,5,5,5,5,5,5,0,0,"satisfied"
"13461",13460,40726,"Male","Loyal Customer",32,"Business travel","Eco",558,5,2,2,2,5,5,5,5,4,5,4,1,1,5,0,0,"satisfied"
"13462",13461,63987,"Male","Loyal Customer",22,"Business travel","Business",1577,1,1,5,1,4,4,4,4,5,3,5,4,4,4,10,4,"satisfied"
"13463",13462,24299,"Female","Loyal Customer",63,"Business travel","Eco Plus",147,4,1,1,1,4,4,2,4,4,4,4,1,4,4,0,0,"satisfied"
"13464",13463,126681,"Male","disloyal Customer",39,"Business travel","Business",2521,3,3,3,4,2,3,2,2,3,3,4,4,4,2,3,0,"neutral or dissatisfied"
"13465",13464,58700,"Male","Loyal Customer",60,"Business travel","Business",4243,3,3,3,3,5,5,5,3,5,3,5,5,4,5,18,23,"satisfied"
"13466",13465,27467,"Female","Loyal Customer",55,"Business travel","Eco",1050,5,1,3,1,5,2,2,5,5,5,5,3,5,3,0,0,"satisfied"
"13467",13466,88864,"Female","Loyal Customer",38,"Business travel","Business",859,5,5,5,5,2,4,5,5,5,4,5,5,5,3,0,0,"satisfied"
"13468",13467,64600,"Female","Loyal Customer",44,"Business travel","Business",2573,3,3,5,3,5,5,4,4,4,4,4,3,4,4,11,5,"satisfied"
"13470",13469,108691,"Male","Loyal Customer",60,"Business travel","Eco",177,2,3,3,3,3,2,3,3,2,5,2,1,2,3,49,55,"neutral or dissatisfied"
"13471",13470,76108,"Female","Loyal Customer",40,"Personal Travel","Eco Plus",669,3,5,3,1,4,3,4,4,4,5,5,5,5,4,0,0,"neutral or dissatisfied"
"13472",13471,56411,"Male","Loyal Customer",24,"Business travel","Business",1714,1,1,1,1,5,5,5,5,4,2,5,3,5,5,7,10,"satisfied"
"13473",13472,110303,"Female","Loyal Customer",43,"Business travel","Business",1535,5,3,5,5,4,5,4,5,5,5,5,4,5,5,3,0,"satisfied"
"13474",13473,72404,"Male","Loyal Customer",56,"Business travel","Business",1121,3,3,3,3,4,5,5,4,4,4,4,5,4,4,0,0,"satisfied"
"13475",13474,96394,"Female","disloyal Customer",21,"Business travel","Eco",1246,4,4,4,3,3,4,2,3,4,5,5,5,5,3,106,NA,"satisfied"
"13476",13475,20563,"Female","Loyal Customer",40,"Business travel","Eco",606,2,3,3,3,2,3,2,2,2,3,2,4,3,2,54,38,"neutral or dissatisfied"
"13477",13476,1490,"Female","disloyal Customer",24,"Business travel","Business",737,5,0,5,3,5,5,5,5,3,4,4,5,5,5,0,5,"satisfied"
"13480",13479,8697,"Female","disloyal Customer",47,"Business travel","Eco",280,1,0,1,3,4,1,4,4,2,4,2,1,4,4,0,0,"neutral or dissatisfied"
"13482",13481,97053,"Male","Loyal Customer",27,"Business travel","Business",1129,2,1,2,2,5,4,5,5,4,4,5,5,5,5,29,31,"satisfied"
"13483",13482,10933,"Female","Loyal Customer",57,"Business travel","Business",216,2,4,4,4,4,4,3,1,1,1,2,3,1,1,0,0,"neutral or dissatisfied"
"13484",13483,30102,"Female","Loyal Customer",20,"Personal Travel","Eco",213,1,1,1,4,3,1,5,3,4,5,4,2,4,3,101,105,"neutral or dissatisfied"
"13485",13484,51535,"Female","Loyal Customer",50,"Business travel","Business",451,4,4,4,4,3,1,3,5,5,5,5,2,5,1,0,0,"satisfied"
"13487",13486,91734,"Male","Loyal Customer",63,"Business travel","Business",588,3,1,2,1,2,1,1,3,3,3,3,4,3,3,12,6,"neutral or dissatisfied"
"13488",13487,35964,"Male","disloyal Customer",35,"Business travel","Business",231,3,3,3,4,3,2,2,1,3,3,3,2,3,2,156,156,"neutral or dissatisfied"
"13489",13488,99210,"Female","Loyal Customer",59,"Business travel","Business",495,1,1,1,1,5,5,5,4,4,4,4,4,4,5,9,0,"satisfied"
"13490",13489,125584,"Female","disloyal Customer",17,"Business travel","Eco",1446,3,3,3,2,4,3,4,4,5,4,4,3,5,4,0,19,"neutral or dissatisfied"
"13493",13492,86136,"Male","Loyal Customer",40,"Business travel","Business",3306,3,3,3,3,5,4,4,4,4,4,4,3,4,3,22,49,"satisfied"
